"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" 0.0277184033083793 5.31963275111934 0.0530170360563416 0.820678733996468 0.941167970359083 "No significant DEG"
"vmacro21729" 0.250915714930004 2.54317903484552 0.948166966837909 0.344019916086131 0.689267416527238 "No significant DEG"
"vmacro21730" 0.191949139505435 4.32421042189083 1.53239049157058 0.232800916130852 0.589257181408105 "No significant DEG"
"vmacro21731" 0.0402081155137593 6.36488838885331 0.150042038724378 0.703365844848431 0.891047575668318 "No significant DEG"
"vmacro21732" 0.106949242168625 7.31234484953158 0.531769869542759 0.475923337545524 0.778288826898601 "No significant DEG"
"vmacro21733" 0.142983123390454 6.37477947997815 0.462757446386187 0.505619364904817 0.794901319855866 "No significant DEG"
"vmacro21734" -0.0686417151008923 7.58620311410543 0.280499693123233 0.603313619596152 0.844359132745297 "No significant DEG"
"vmacro21735" -0.104274022366127 6.85693270895055 0.649876221478811 0.431437838438135 0.749310458727801 "No significant DEG"
"vmacro21736" -0.0458761201903761 5.02485463298525 0.0411352000101825 0.841716869561413 0.949170969322716 "No significant DEG"
"vmacro21737" -1.62551180263288 3.4436826645458 15.019076748809 0.00124132704923194 0.0530454855225605 "No significant DEG"
"vmacro21738" -0.384262167661333 0.190356703618956 0.404792215934593 0.533210552535974 0.80857141958457 "No significant DEG"
"vmacro21739" 0.313097858784813 7.01620166498122 3.02128526035976 0.100498446141415 0.418652076904891 "No significant DEG"
"vmacro21740" 0.509286125915847 2.8587752409287 1.54731742854635 0.230634717849948 0.587128952754271 "No significant DEG"
"vmacro21741" -0.112589271876587 7.08927688179868 0.946803564501324 0.344357751082448 0.689691736864521 "No significant DEG"
"vmacro21742" 0.0921940711532798 3.36357717613502 0.276222303612743 0.606066559656773 0.845175131209427 "No significant DEG"
"vmacro21743" -0.255818944508873 7.03835752089048 3.35491459385609 0.0848227628546152 0.389256429306149 "No significant DEG"
"vmacro21744" 0.0161902352147501 8.7407112372323 0.0221283670346952 0.883519789193123 0.963262605444712 "No significant DEG"
"vmacro21745" -0.0100093935489893 4.09707678026823 0.0037139303428747 0.952125587620602 0.987235372607803 "No significant DEG"
"vmacro21746" 0.215480023851512 6.36806332112284 1.5725682331066 0.227029235507759 0.583164916147387 "No significant DEG"
"vmacro21748" -0.010343760144043 7.12871940503668 0.00354806454005146 0.953205474456402 0.987335367640485 "No significant DEG"
"vmacro21749" 0.0774142851598321 5.36279966371903 0.135312183952103 0.717586939822881 0.897748467050663 "No significant DEG"
"vmacro21750" -0.281620061912646 -0.609575179834688 0.145900054994365 0.707280337425831 0.893172620747946 "No significant DEG"
"vmacro21751" 0.235517324289069 0.959660822407855 0.22064659730131 0.644596104650478 0.864334943055592 "No significant DEG"
"vmacro21752" -0.66972808279496 -0.72489292185492 0.581525671703336 0.456305252675243 0.765447246318191 "No significant DEG"
"vmacro21753" 0.0546844790256094 -1.20985124239026 0.00443272162690041 0.947704211085021 0.98545207805968 "No significant DEG"
"vmacro21755" -0.292368838211297 4.89593439374019 3.53187030817071 0.0776875245557918 0.374782380096542 "No significant DEG"
"vmacro21756" -0.181121787687701 6.89144352164419 1.52132903878501 0.234423165880117 0.590703023667535 "No significant DEG"
"vmacro21757" -0.141326215968138 5.39813985257995 0.790774969432 0.386441124087983 0.717627695207327 "No significant DEG"
