"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" 0.735893156877945 5.31963275111934 36.1318659755265 1.48492204272959e-05 0.00385910764096956 "No significant DEG"
"vmacro21729" 0.0828000175283023 2.54317903484552 0.0998399735764947 0.755919390599538 0.865236266167788 "No significant DEG"
"vmacro21730" 0.405168476713988 4.32421042189083 6.57993880492023 0.0202205056690558 0.0979695569309729 "No significant DEG"
"vmacro21731" 0.254850952604288 6.36488838885331 5.96424329059454 0.0259845754577733 0.112342651146198 "No significant DEG"
"vmacro21732" 0.191932048089883 7.31234484953158 1.70409277992706 0.209375660872064 0.397965920046141 "No significant DEG"
"vmacro21733" 0.372093032661351 6.37477947997815 3.11559579334059 0.0957425457842362 0.246057469381111 "No significant DEG"
"vmacro21734" 0.0216825667284874 7.58620311410543 0.0279180876381315 0.869299212875116 0.932561862976932 "No significant DEG"
"vmacro21735" -0.266431846289413 6.85693270895055 4.2004400538565 0.056385739845944 0.177543411614622 "No significant DEG"
"vmacro21736" -0.200098011566597 5.02485463298525 0.730348952969324 0.404810671931485 0.595126286481162 "No significant DEG"
"vmacro21737" 0.199820539484816 3.4436826645458 0.209079416402661 0.653356216216036 0.7934027135422 "No significant DEG"
"vmacro21738" -0.18209938602896 0.190356703618956 0.0485180978117498 0.828320701653488 0.908552834562057 "No significant DEG"
"vmacro21739" 0.874300298664561 7.01620166498122 23.1747800817957 0.00016791183814767 0.00914076768933412 "No significant DEG"
"vmacro21740" -0.034424107629898 2.8587752409287 0.00713549441514219 0.93368123328534 0.967252082854352 "No significant DEG"
"vmacro21741" 0.195720427273079 7.08927688179868 2.83299385304678 0.110863015642748 0.270064130412134 "No significant DEG"
"vmacro21742" 0.577028517839621 3.36357717613502 9.47727164997234 0.00689289866186327 0.0536234810296931 "No significant DEG"
"vmacro21743" -0.356844092267717 7.03835752089048 6.45307869519674 0.0212774477450775 0.100636577172664 "No significant DEG"
"vmacro21744" -0.0266138432592369 8.7407112372323 0.0597383485889573 0.809874536113139 0.897103217565187 "No significant DEG"
"vmacro21745" 0.0709648144320699 4.09707678026823 0.178859284722777 0.677727379540146 0.811324825199466 "No significant DEG"
"vmacro21746" -0.461069949149574 6.36806332112284 7.19038555807831 0.0159025840338574 0.0850173179500646 "No significant DEG"
"vmacro21748" -0.760564506038767 7.12871940503668 18.8124970117456 0.00046042001971715 0.0136051689381328 "No significant DEG"
"vmacro21749" 0.605231662055418 5.36279966371903 8.1234034605058 0.0111787213352359 0.0695024470529123 "No significant DEG"
"vmacro21750" 0.671648695967677 -0.609575179834688 0.902883115629339 0.355500521335442 0.550062657728225 "No significant DEG"
"vmacro21751" 0.248956919045394 0.959660822407855 0.231450860304819 0.636665482731908 0.780688742807351 "No significant DEG"
"vmacro21752" 0.581347150886016 -0.72489292185492 0.410219663130414 0.530510762289264 0.701572738578401 "No significant DEG"
"vmacro21753" 1.0552257487958 -1.20985124239026 0.868792850565047 0.364512239370808 0.558276560010006 "No significant DEG"
"vmacro21755" 0.4167346131212 4.89593439374019 6.90801771747754 0.0177537690597907 0.0907187636794825 "No significant DEG"
"vmacro21756" -0.0463730970283207 6.89144352164419 0.0984777016837765 0.757532982310938 0.866251521945995 "No significant DEG"
"vmacro21757" 0.195756079520278 5.39813985257995 1.48521038748236 0.239823444062608 0.43169125181601 "No significant DEG"
"vmacro21758" -0.416564042232424 1.0232280021029 0.694997469370454 0.416183459760285 0.604857978111554 "No significant DEG"
"vmacro21759" -0.297776028779462 3.46784300731699 2.20532247853684 0.156085061392342 0.332198330776812 "No significant DEG"
"vmacro21760" 0.39479558863922 4.40641048741158 9.15376945377395 0.00771561468709707 0.0570447093629366 "No significant DEG"
"vmacro21761" 0.101706390016141 4.05782680669275 0.188015312674762 0.670098428286985 0.805939485402476 "No significant DEG"
"vmacro21762" 0.250534149869861 7.47034233473735 2.61096000979456 0.124777548683697 0.290401627762509 "No significant DEG"
"vmacro21763" -0.154433671726532 4.89838354201024 0.881923598212629 0.361002218432535 0.55477844506091 "No significant DEG"
"vmacro21764" -0.33969472407402 4.68959326737485 5.06009788948772 0.0382144938464921 0.140667979568089 "No significant DEG"
"vmacro21765" -0.151074206746888 4.4500250858286 0.615596817799951 0.443628215686348 0.629254031396274 "No significant DEG"
"vmacro21766" 0.145574664562469 5.44133899161884 1.30604624257232 0.269161248792501 0.464176007659069 "No significant DEG"
"vmacro21767" -0.0244318027679786 4.14530688188742 0.0330596948185682 0.857900495518268 0.926062585706013 "No significant DEG"
"vmacro21768" -0.549331207949967 7.66757345602819 12.854935002005 0.00232117657860618 0.0299367432298262 "No significant DEG"
"vmacro21769" -0.424777030050488 6.21594167635533 6.74226066561971 0.0189543332605198 0.094351228325787 "No significant DEG"
"vmacro21770" -0.401311054254037 3.62646535270977 5.95380300423103 0.026097372383129 0.112549712459459 "No significant DEG"
"vmacro21771" 0.0982341117630961 0.432962544126544 0.0281694581665762 0.868717924926018 0.932200406051068 "No significant DEG"
"vmacro21774" -0.643733581548382 1.29388994428242 1.92413049623759 0.183558271764968 0.366102854505728 "No significant DEG"
"vmacro21775" -0.954650333442335 6.63107703236682 16.3497857014827 0.00086437984624034 0.0184176204353289 "No significant DEG"
"vmacro21776" 0.00823712514429321 4.96770754747284 0.00247606987378779 0.960901246119294 0.981693067844547 "No significant DEG"
"vmacro21777" 0.293038899282452 4.22879833028614 2.46366907752082 0.135176163380375 0.30500181174363 "No significant DEG"
"vmacro21778" 0.129564404997873 5.22814054096438 0.457526963900247 0.508002180497491 0.683242285447226 "No significant DEG"
"vmacro21779" -0.293820048777282 7.43383894254246 6.57087240388895 0.0202940231171718 0.0980269665637002 "No significant DEG"
"vmacro21780" 0.00851425583602997 4.48326223031778 0.00342699293392465 0.954009812802235 0.97825206956536 "No significant DEG"
"vmacro21781" -0.268729654491968 7.81386460514503 3.51962896494754 0.0781577662818207 0.21751668979074 "No significant DEG"
"vmacro21782" -0.159666844674341 4.89711816865149 1.87620411575193 0.1888241944769 0.372526467289633 "No significant DEG"
"vmacro21783" 0.0210423051745913 7.05802286711742 0.00642493983224967 0.937061937277998 0.969300817884299 "No significant DEG"
"vmacro21784" -1.05263997154812 5.51308971613577 12.4957526204641 0.00258800919447368 0.0317060214416092 "Significant DEG"
"vmacro21785" -0.196957191044272 4.93793273004971 0.742771492000765 0.40092744583547 0.591972368551094 "No significant DEG"
"vmacro21786" 0.21991851070197 5.82885413833137 3.15106534214278 0.0940233692383242 0.244079445865682 "No significant DEG"
"vmacro21787" 0.129125135141705 6.10853608526251 1.55834655079702 0.229050881768335 0.420092807211312 "No significant DEG"
"vmacro21788" -0.0229652816212778 4.39506671733372 0.018095969556438 0.894591272868771 0.946274480361272 "No significant DEG"
