"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21746" 1.0932065053299 6.36806332112284 39.7465575814685 8.42371512453083e-06 0.00022071753571487 "Significant DEG"
"vmacro21748" 0.374535841460716 7.12871940503668 4.63572730795377 0.0461676997543259 0.124649521983548 "No significant DEG"
"vmacro21749" -0.0263407740440173 5.36279966371903 0.0154783292992278 0.902467837800988 0.944454600650346 "No significant DEG"
"vmacro21750" 0.517027743519509 -0.609575179834688 0.507094477977823 0.486186507281651 0.639993962175333 "No significant DEG"
"vmacro21751" 0.0386729165389953 0.959660822407855 0.00571579570061965 0.940629389020987 0.966521525294943 "No significant DEG"
"vmacro21752" -0.345604967541187 -0.72489292185492 0.153950520729939 0.699728978755192 0.809422386429919 "No significant DEG"
"vmacro21753" -1.72066705847078 -1.20985124239026 2.81351009257122 0.112006814312625 0.23459555626757 "No significant DEG"
"vmacro21755" -0.450567549842884 4.89593439374019 8.21635054714183 0.0108027784548875 0.0424522041670744 "No significant DEG"
"vmacro21756" -0.314599608712746 6.89144352164419 4.56143595769434 0.0477489648909159 0.12767192392686 "No significant DEG"
"vmacro21757" -0.139244003680299 5.39813985257995 0.75917272995628 0.39588686648745 0.559871143108549 "No significant DEG"
"vmacro21758" 0.00995929767573512 1.0232280021029 0.000439373214720127 0.983523899738621 0.990730876698786 "No significant DEG"
"vmacro21759" 0.296512986277504 3.46784300731699 2.25880261198878 0.151449065448307 0.290340796324267 "No significant DEG"
"vmacro21760" -0.0226418155305361 4.40641048741158 0.0303917171193616 0.863691090241064 0.920745964698391 "No significant DEG"
"vmacro21761" 0.303366200254206 4.05782680669275 1.68124451630876 0.212313087096221 0.367468663130425 "No significant DEG"
"vmacro21762" 0.292701111881944 7.47034233473735 3.56333678375291 0.0764939445101773 0.178726358590352 "No significant DEG"
"vmacro21763" -0.262232632063142 4.89838354201024 2.63465684524313 0.123196153938793 0.250850409519906 "No significant DEG"
"vmacro21764" 0.0622482379916954 4.68959326737485 0.175365479918066 0.680699613239197 0.79609718715743 "No significant DEG"
"vmacro21765" 0.24245411286218 4.4500250858286 1.6217265331038 0.220215739819806 0.376804380791424 "No significant DEG"
"vmacro21766" 0.148727995332779 5.44133899161884 1.37230136429413 0.257788268232094 0.419637413938146 "No significant DEG"
"vmacro21767" 0.270503894293677 4.14530688188742 4.10836236116088 0.058870920855996 0.148638360731717 "No significant DEG"
"vmacro21768" 0.899913751056861 7.66757345602819 34.2166154439975 2.03840204369857e-05 0.000411891090927439 "No significant DEG"
"vmacro21769" -0.000624898709549201 6.21594167635533 1.48647347694177e-05 0.996969259329921 0.998225882285871 "No significant DEG"
"vmacro21770" 0.0759876847324195 3.62646535270977 0.223362503500044 0.642580380591764 0.766891119301001 "No significant DEG"
"vmacro21771" -0.427073147611487 0.432962544126544 0.582388098718311 0.455977093225796 0.613425703736657 "No significant DEG"
"vmacro21774" 0.371283964785478 1.29388994428242 0.672678307978558 0.423621237327721 0.585464070571386 "No significant DEG"
"vmacro21775" 0.0557218976821785 6.63107703236682 0.0576709488103852 0.813125882219617 0.887408863864882 "No significant DEG"
"vmacro21776" 0.117809276159256 4.96770754747284 0.51440586867349 0.483106334873229 0.637143735647509 "No significant DEG"
"vmacro21777" -0.15234152829426 4.22879833028614 0.678000287898339 0.42182893591812 0.5841599532084 "No significant DEG"
"vmacro21778" 0.40240183318021 5.22814054096438 4.40436385228069 0.0513033012992182 0.134609418470782 "No significant DEG"
"vmacro21779" -0.0835820066171238 7.43383894254246 0.535517343772689 0.474396894262166 0.629766911966791 "No significant DEG"
"vmacro21780" 0.214430278834026 4.48326223031778 2.20010284673417 0.156546802442991 0.297630843875217 "No significant DEG"
"vmacro21781" -0.495437948408595 7.81386460514503 11.9909920230451 0.00302340922463155 0.0164897684617586 "No significant DEG"
"vmacro21782" 0.263649977117661 4.89711816865149 5.19711614875158 0.0359928398638711 0.104404413078367 "No significant DEG"
"vmacro21783" 0.759228175217892 7.05802286711742 8.26392998194568 0.0106158968837191 0.0418817441689641 "No significant DEG"
"vmacro21784" 0.80783227985718 5.51308971613577 7.55337658951225 0.0138368491621779 0.051130937188792 "No significant DEG"
"vmacro21785" 0.857626693097711 4.93793273004971 13.8780783211516 0.00171608605069316 0.0108837741946224 "No significant DEG"
"vmacro21786" 0.0366001716911512 5.82885413833137 0.0878598988190159 0.770554190664649 0.85824601114844 "No significant DEG"
"vmacro21787" 0.0849191414321627 6.10853608526251 0.677844029449981 0.421881390060232 0.5841599532084 "No significant DEG"
"vmacro21788" -0.21408005935635 4.39506671733372 1.6203665021648 0.220400684366818 0.37683153297498 "No significant DEG"
"vmacro21789" -0.355574235558858 6.3857745865129 9.08871688601071 0.00789415883793274 0.0337748602541423 "No significant DEG"
"vmacro21792" -0.0558928289222821 2.71103319790564 0.0916951300785915 0.765756044339478 0.855048676800067 "No significant DEG"
"vmacro21794" -0.0489235313999914 5.09633032911617 0.110289464387692 0.743928437253689 0.840167847283252 "No significant DEG"
"vmacro21795" -0.14120225518622 2.84170928992271 0.377520497847386 0.547177378571874 0.690645909417781 "No significant DEG"
"vmacro21796" 0.625365660547624 1.52416580301835 4.39632557403618 0.0514932921038403 0.134940863701161 "No significant DEG"
"vmacro21797" -2.92898886533287 2.13141495596322 27.1454008170887 7.38397610001029e-05 0.00105742750831604 "Significant DEG"
"vmacro21798" 1.29412168513475 6.75077339538093 20.6188207755073 0.000298653412749438 0.00294349677362169 "Significant DEG"
"vmacro21799" -0.326029216494697 6.69577434520531 2.45319627257444 0.135954755193094 0.269074180878633 "No significant DEG"
"vmacro21800" 0.0142847534234164 5.27509586184641 0.0149115448221383 0.904260647808026 0.945708199843089 "No significant DEG"
"vmacro21801" -0.154622720630912 5.43987383271113 1.32054912163851 0.266615684325482 0.429317421788669 "No significant DEG"
"vmacro21802" -0.457125482379704 2.12561007026471 0.752271806586156 0.397995915292569 0.561640335023543 "No significant DEG"
"vmacro21803" -0.192227518840445 2.68990094837995 0.192769517806186 0.666224575976012 0.785380000416688 "No significant DEG"
"vmacro21804" -0.0601868657934435 6.5591847772575 0.259288001865077 0.617242493481722 0.747169727323509 "No significant DEG"
"vmacro21805" -1.30385260348991 5.24038172098527 29.5669461958787 4.64440375953187e-05 0.000751416469152421 "Significant DEG"
"vmacro21806" 1.11980052752671 3.97043143396514 26.7067719409708 8.05384429884911e-05 0.00112547311355712 "Significant DEG"
"vmacro21807" 0.449663701104653 4.30768150965034 4.70532714747207 0.0447410122007228 0.121745336337915 "No significant DEG"
"vmacro21808" -1.13321038230317 5.97016315625904 32.7050811394114 2.64061259429493e-05 0.000501190897872396 "Significant DEG"
"vmacro21809" 1.17869603016057 5.02512586993205 18.9543788318432 0.000444653879006411 0.00393585742090361 "Significant DEG"
"vmacro21810" -0.168808198304941 3.2244493206333 0.417205081751612 0.527073183722273 0.674126389935789 "No significant DEG"
"vmacro21811" 0.553189691857576 4.78259346542457 12.7962428287635 0.00236257743279927 0.0138104754179561 "No significant DEG"
"vmacro21812" -0.201423539569464 4.29800392113591 1.01226562710064 0.328654313647197 0.49640380655931 "No significant DEG"
"vmacro21813" 0.194792474703867 6.14553883476704 2.52130652983611 0.130986611412663 0.261794804347919 "No significant DEG"
"vmacro21814" -0.321463477339748 3.60036088864512 2.27465259434002 0.150107625363075 0.288610316883444 "No significant DEG"
"vmacro21815" -0.202103662523872 2.00925226165887 0.307196037859286 0.586719891707959 0.722810894258425 "No significant DEG"
"vmacro21816" 0.461731097441589 0.651513104969271 1.60669037831797 0.222271563672436 0.378860698512351 "No significant DEG"
"vmacro21817" -0.37068409919067 -0.360381705218098 0.295962861450786 0.593582540670689 0.728515439666284 "No significant DEG"
"vmacro21818" -0.91636367208657 1.66913116290522 4.35991843727054 0.0523640869860557 0.136566168889665 "No significant DEG"
"vmacro21819" 0.36531182181696 0.981805969786896 0.871927823119103 0.363669709989906 0.529582389347085 "No significant DEG"
"vmacro21821" -0.0340854937749587 6.04530940899278 0.0448036887548382 0.834915812418431 0.901251718741529 "No significant DEG"
"vmacro21822" 0.287849914796372 5.08260793379031 3.80321292200646 0.0680693092154645 0.164858059076306 "No significant DEG"
"vmacro21824" 0.265892694465981 4.08198415785722 0.968363867947361 0.339070277825749 0.506787382419175 "No significant DEG"
"vmacro21825" -0.427943422049059 4.45024097841896 5.57434846000491 0.0306044531001087 0.0927519481983495 "No significant DEG"
"vmacro21826" -0.0996332639372093 6.70995024862945 0.728483362959456 0.405398815693443 0.568643459765603 "No significant DEG"
"vmacro21827" -0.822607059429959 8.28794297309106 27.8630221339221 6.41847350353016e-05 0.000950561972669548 "No significant DEG"
"vmacro21829" 0.147888654793031 6.93458709830351 0.339926553787219 0.567627873043626 0.707263810719653 "No significant DEG"
"vmacro21830" -0.622509988970857 3.25926578950695 5.51468182658033 0.0313915235135988 0.0946234062078139 "No significant DEG"
"vmacro21831" 0.432152493860475 2.10267775312871 1.53149395092862 0.232931858503217 0.391090150598438 "No significant DEG"
"vmacro21832" 1.36997781776128 9.04003399976028 21.5163422065245 0.000242848896537512 0.00253687990221963 "Significant DEG"
"vmacro21833" -0.243103771829549 4.7821265660544 3.53502846848498 0.0775667465442295 0.180526869134118 "No significant DEG"
"vmacro21834" -1.92326914098942 1.3538855978229 32.5604149514071 2.70800708948016e-05 0.000509923348784146 "Significant DEG"
"vmacro21835" 1.10431214926426 -0.189458239418436 2.1440179181646 0.16161579903482 0.304145754399091 "No significant DEG"
"vmacro21836" 0.410268470743289 5.84958669812187 10.8414808466368 0.00435982756620104 0.021770604928085 "No significant DEG"
"vmacro21837" -0.279016240873243 7.45369555017839 4.00057077323333 0.0619439803746259 0.154251424297515 "No significant DEG"
"vmacro21838" 0.194178812446731 4.68453309053048 1.88942213711499 0.187353170359862 0.336988375729786 "No significant DEG"
"vmacro21839" -0.112749561066671 9.03778981327817 0.624137966682678 0.44053964446226 0.600632448022192 "No significant DEG"
"vmacro21840" -0.42931879117684 5.8196597102174 12.0628921218561 0.0029566218874657 0.0162155153833836 "No significant DEG"
"vmacro21841" 0.00476428945737694 5.10110156881686 0.000216634887631194 0.988430384692451 0.993180761652301 "No significant DEG"
"vmacro21843" -0.507549964852685 1.78523452542553 1.65604203058137 0.215614408377009 0.371396499890866 "No significant DEG"
"vmacro21844" -0.0468492863942632 5.31198873380416 0.0743546427290198 0.788427166336037 0.870830816320782 "No significant DEG"
"vmacro21845" 0.0379765998226499 2.4396057851558 0.0228146244202559 0.881741680998714 0.931415415845236 "No significant DEG"
"vmacro21846" 0.274389285077846 0.741158458553414 0.352394941674784 0.560680875234782 0.701725653685941 "No significant DEG"
"vmacro21847" -0.640150035531866 5.49638346635957 20.4945040682972 0.000307461688571934 0.00300760600487674 "No significant DEG"
"vmacro21848" -0.66551597499261 4.49703573200551 15.1058139792913 0.00121177726778262 0.00840532777561941 "No significant DEG"
"vmacro21849" -4.86810049086133 2.35530293216161 45.3237819555447 3.76483247336194e-06 0.000123392060875222 "Significant DEG"
"vmacro21850" -0.261360792429438 3.1876273589664 0.945996059709253 0.344558064939462 0.512191793073584 "No significant DEG"
"vmacro21851" 0.946145957171858 5.0439066279836 35.896857724924 1.54278856531468e-05 0.00033904022907117 "No significant DEG"
"vmacro21852" -0.475414927850487 6.28037992014665 14.0739080828926 0.0016217746764728 0.010467567587789 "No significant DEG"
"vmacro21853" -0.467329224064595 2.89140288010031 3.25011922793661 0.08941260993914 0.199762226321845 "No significant DEG"
"vmacro21854" -0.535256423928673 2.73116442507453 6.19381652284382 0.023639829874314 0.0767017783385848 "No significant DEG"
"vmacro21855" -0.142155854105941 8.76252688938528 1.04905147743182 0.320270258673202 0.487371085977398 "No significant DEG"
"vmacro21856" -0.68927596907704 4.68583850275204 20.4815681209214 0.000308394870841452 0.00301364352525651 "No significant DEG"
"vmacro21857" 0.49044839828774 6.77676780229228 12.4628571740425 0.00261412615298724 0.0148141581604966 "No significant DEG"
"vmacro21858" -0.582860161973279 4.89777844972342 16.8712567296178 0.000753323595426416 0.00585798923063958 "No significant DEG"
"vmacro21859" -0.00732647319513084 -0.376138031825252 0.000137950909576288 0.990767420870634 0.994359242197455 "No significant DEG"
"vmacro21863" 0.364823634162001 3.10979295672754 3.08714507181334 0.0971485356871187 0.211964680865414 "No significant DEG"
"vmacro21864" 0.617114719109522 8.42264781543637 11.4363877997095 0.00359971886379452 0.0188173848525296 "No significant DEG"
"vmacro21866" 0.056474208171151 1.81005566390458 0.0328905327406243 0.85826030424432 0.916448135676696 "No significant DEG"
"vmacro21726" -1.41298227174148 0.0710412537367369 1.58604558193032 0.225134571935817 0.382237824626232 "No significant DEG"
"vmacro21725" -2.22925180189383 1.44411669347242 14.064979949954 0.00162594534590879 0.0104886396595232 "Significant DEG"
"vmacro21724" 0.406508699664672 3.44603359901621 4.12304991577745 0.0584660877026776 0.147890282844261 "No significant DEG"
"vmacro21723" 0.00180893212695069 5.59919550260902 0.00014666327044128 0.990480354661698 0.994233161351991 "No significant DEG"
"vmacro21722" 0.134139167850673 4.17925902828132 0.864093255356315 0.365780617326221 0.531264042318771 "No significant DEG"
"vmacro21721" 0.670590947831709 7.06175821264844 44.6765878736798 4.11757488055487e-06 0.000131783122225812 "No significant DEG"
"vmacro21720" 0.230158448974261 3.79392529484165 1.35353283259393 0.260944260379195 0.423265649823127 "No significant DEG"
"vmacro21719" 0.457104639960919 4.09373869166276 9.81469677081436 0.00613881883183394 0.0280743153241986 "No significant DEG"
"vmacro21718" -1.19242313870769 7.14146173761091 88.1721375223629 4.34245855161975e-08 5.59523365978658e-06 "Significant DEG"
"vmacro21717" -0.470136904421109 2.96176758266435 2.48602270919243 0.13353231628246 0.265464193130581 "No significant DEG"
"vmacro21716" -0.41755848564815 3.63998985397628 7.44878204573083 0.0143989948423694 0.052566665381473 "No significant DEG"
"vmacro21715" 0.319082546628712 5.47573219123788 3.27562862083464 0.0882688663410913 0.197969268131254 "No significant DEG"
"vmacro21714" -0.824890170935163 7.88042677559646 36.4916510613806 1.4009824643633e-05 0.000317384091540735 "No significant DEG"
"vmacro21713" 0.777558882129599 4.69862535456154 24.4749330809987 0.000127143022365088 0.00155365352441643 "No significant DEG"
