"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" 0.352122954466265 5.31963275111934 8.6573184422947 0.00920372262412585 0.0790815356104507 "No significant DEG"
"vmacro21729" 0.261727340798187 2.54317903484552 1.07433870441176 0.314679247283595 0.588048250411325 "No significant DEG"
"vmacro21730" 0.101782856665931 4.32421042189083 0.439892193816937 0.516186256874107 0.75357820678659 "No significant DEG"
"vmacro21731" -0.0061396690313034 6.36488838885331 0.00351411781862288 0.95342959082431 0.982903823432617 "No significant DEG"
"vmacro21732" -0.194709581933366 7.31234484953158 1.76470749677662 0.201829336382131 0.465356532272349 "No significant DEG"
"vmacro21733" -0.238083400647164 6.37477947997815 1.2870817328402 0.272539030018706 0.544115489328283 "No significant DEG"
"vmacro21734" -0.0467302062565648 7.58620311410543 0.130176026429918 0.72275313996859 0.88081498497961 "No significant DEG"
"vmacro21735" -0.0900745392396287 6.85693270895055 0.485809719834661 0.495349453830078 0.738950443344155 "No significant DEG"
"vmacro21736" 0.0621806664922286 5.02485463298525 0.0762311353075363 0.785844105979872 0.909008539224484 "No significant DEG"
"vmacro21737" -0.327926702603514 3.4436826645458 0.602819814876102 0.448314276961019 0.705577131438238 "No significant DEG"
"vmacro21738" 0.040125035992294 0.190356703618956 0.00448434334356266 0.947401063647548 0.979728603492292 "No significant DEG"
"vmacro21739" -0.0198048239796564 7.01620166498122 0.0121640398098711 0.9134876111846 0.966819529475207 "No significant DEG"
"vmacro21740" -0.514964222305688 2.8587752409287 1.61377091893623 0.221300419720065 0.490338903678267 "No significant DEG"
"vmacro21741" 0.23715413895751 7.08927688179868 4.20879379396356 0.0561663718668663 0.228583126510732 "No significant DEG"
"vmacro21742" -0.117776855627515 3.36357717613502 0.457430502221383 0.508046312959065 0.747736962704375 "No significant DEG"
"vmacro21743" -0.0479578059834676 7.03835752089048 0.118141446178814 0.735329657882423 0.886076327199874 "No significant DEG"
"vmacro21744" 0.0266535457996284 8.7407112372323 0.0600204129752614 0.809435603344188 0.921570021116772 "No significant DEG"
"vmacro21745" -0.24805735767719 4.09707678026823 2.29675091582798 0.148261547539833 0.394984499905351 "No significant DEG"
"vmacro21746" -0.922723251553166 6.36806332112284 28.3578307668187 5.8352822222471e-05 0.00556516572763756 "No significant DEG"
"vmacro21748" -0.207033427274361 7.12871940503668 1.42213989540746 0.249648378974074 0.520662392955224 "No significant DEG"
"vmacro21749" -0.0984001887658099 5.36279966371903 0.220446853652369 0.64474495457459 0.836654437099669 "No significant DEG"
"vmacro21750" 0.324253359391074 -0.609575179834688 0.208646002084737 0.653690144517302 0.841997400679825 "No significant DEG"
