"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" -0.329170315260496 5.31963275111934 7.3197947107344 0.0151283365438177 0.0708154649259686 "No significant DEG"
"vmacro21729" 0.0732886234444454 2.54317903484552 0.0804770612699825 0.780123548464133 0.876711527856473 "No significant DEG"
"vmacro21730" -0.287330604244608 4.32421042189083 3.36458941523553 0.0844132216128201 0.218804484612657 "No significant DEG"
"vmacro21731" -0.0412047153010643 6.36488838885331 0.15676212199441 0.697145803953744 0.824532255110222 "No significant DEG"
"vmacro21732" -0.0313100266382787 7.31234484953158 0.0454803648539148 0.833693557158241 0.908478736648239 "No significant DEG"
"vmacro21733" 0.0598304008564129 6.37477947997815 0.080840757039079 0.779641224112563 0.876401458538932 "No significant DEG"
"vmacro21734" 0.269110784296679 7.58620311410543 4.3017249724422 0.0537917159595963 0.164277454679683 "No significant DEG"
"vmacro21735" 0.211827723046731 6.85693270895055 2.67265283349147 0.120710595901822 0.275721208457449 "No significant DEG"
"vmacro21736" -0.468583424453987 5.02485463298525 4.1747106367611 0.0570676769938591 0.170621620479289 "No significant DEG"
"vmacro21737" -0.136066921082275 3.4436826645458 0.0999348098887309 0.75580751238932 0.861386646282266 "No significant DEG"
"vmacro21738" -1.36835783144979 0.190356703618956 3.78160524335232 0.0687819991262326 0.191843344543484 "No significant DEG"
"vmacro21739" -0.333858914089771 7.01620166498122 3.42042132468918 0.0820948696877366 0.214838748702644 "No significant DEG"
"vmacro21740" 0.375883724452724 2.8587752409287 0.855468712907087 0.368125170350913 0.560369294106109 "No significant DEG"
"vmacro21741" -0.135069877986233 7.08927688179868 1.35583752577399 0.26055397708405 0.452936035075025 "No significant DEG"
"vmacro21742" -1.00085976665034 3.36357717613502 29.8056702521348 4.44300351663664e-05 0.00159006176510026 "Significant DEG"
"vmacro21743" 0.143915196781889 7.03835752089048 1.05858293136632 0.31814673687845 0.512877333907462 "No significant DEG"
"vmacro21744" 0.317210268442582 8.7407112372323 8.47586078869248 0.00982680511723371 0.0525808611481715 "No significant DEG"
"vmacro21745" -0.100473778647625 4.09707678026823 0.36623816804936 0.553161819799956 0.717695668118907 "No significant DEG"
"vmacro21746" 0.877726481478386 6.36806332112284 25.8676994257639 9.53388502586386e-05 0.00250839802577039 "No significant DEG"
"vmacro21748" 0.384879601604759 7.12871940503668 4.89509562659464 0.0411027014348632 0.136787605738754 "No significant DEG"
"vmacro21749" -0.103755059203849 5.36279966371903 0.24065753405437 0.630086979518121 0.775781015524208 "No significant DEG"
"vmacro21750" 0.798647805432154 -0.609575179834688 1.17357960766638 0.293993486804006 0.4884464158937 "No significant DEG"
"vmacro21751" -0.196844407750074 0.959660822407855 0.149982648603344 0.703421528638751 0.828154898085679 "No significant DEG"
"vmacro21752" 0.324123115253774 -0.72489292185492 0.125466223599179 0.727593345221514 0.843937826806387 "No significant DEG"
"vmacro21753" -1.77535153749639 -1.20985124239026 3.00746621735986 0.101218675139568 0.246328835736229 "No significant DEG"
"vmacro21755" -0.158198711631588 4.89593439374019 1.00952358106267 0.329291554294464 0.523479989846396 "No significant DEG"
"vmacro21756" -0.133477821025044 6.89144352164419 0.821571756074074 0.37755743829094 0.569410826644503 "No significant DEG"
"vmacro21757" 0.0020822122878389 5.39813985257995 0.00016951704203621 0.989765538038499 0.994843688339131 "No significant DEG"
"vmacro21758" -0.0228482902664756 1.0232280021029 0.00226482381404474 0.962604884858106 0.980335727638461 "No significant DEG"
"vmacro21759" 0.39915727282982 3.46784300731699 4.07405172201807 0.0598294097039298 0.176063867649253 "No significant DEG"
"vmacro21760" 0.0528545863802554 4.40641048741158 0.16534412116389 0.689424187817733 0.819683039750653 "No significant DEG"
"vmacro21761" 0.333036533029259 4.05782680669275 2.02608814935853 0.172952047057376 0.349180810501635 "No significant DEG"
