"genes" "logFC" "logCPM" "F" "PValue" "FDR" "status"
"vmacro21728" 0.0545998871511845 5.31963275111934 0.207304512146028 0.65472639391432 0.750445016459299 "No significant DEG"
"vmacro21729" -0.105638699825439 2.54317903484552 0.170145285855932 0.685206533102751 0.775088336531755 "No significant DEG"
"vmacro21730" 0.0160550158034488 4.32421042189083 0.0107735304492463 0.918562423382555 0.94875342354463 "No significant DEG"
"vmacro21731" 0.219785906334527 6.36488838885331 4.47965431730753 0.049562659621737 0.105868727019556 "No significant DEG"
"vmacro21732" 0.355331603384971 7.31234484953158 5.85416869790673 0.0272024941514816 0.0667980916502977 "No significant DEG"
"vmacro21733" 0.670006834164928 6.37477947997815 10.1084456977743 0.00555764816284672 0.0192854536485904 "No significant DEG"
"vmacro21734" 0.337523557281731 7.58620311410543 6.76531541132688 0.0187819356902057 0.0502019225382819 "No significant DEG"
"vmacro21735" 0.0354704159969464 6.85693270895055 0.074883018743311 0.787696313754162 0.853710635503446 "No significant DEG"
"vmacro21736" -0.730862102512812 5.02485463298525 9.98726308935886 0.00578951909966708 0.0199161545222993 "No significant DEG"
"vmacro21737" 0.391680321006054 3.4436826645458 0.832709887512946 0.374419147689475 0.502253533205115 "No significant DEG"
"vmacro21738" -1.59058225347104 0.190356703618956 4.85549777347206 0.0418327909808194 0.0930891843162774 "No significant DEG"
"vmacro21739" 0.560246208554446 7.01620166498122 9.67485418689858 0.0064394077124862 0.0215721289279372 "No significant DEG"
"vmacro21740" 0.856423839128513 2.8587752409287 4.40495852145377 0.0512892781688385 0.108716855325102 "No significant DEG"
"vmacro21741" -0.176503589670664 7.08927688179868 2.32190375177499 0.146193954919927 0.245112919934747 "No significant DEG"
"vmacro21742" -0.306054393183208 3.36357717613502 2.9209995571753 0.105867437177956 0.191160674381817 "No significant DEG"
"vmacro21743" -0.16497108950236 7.03835752089048 1.38814147518083 0.255163798499169 0.375994550511522 "No significant DEG"
"vmacro21744" 0.263942879383717 8.7407112372323 5.87373443816576 0.0269813121327906 0.0663574689186412 "No significant DEG"
"vmacro21745" 0.218548393461635 4.09707678026823 1.74433180282718 0.204326953345166 0.317208157813871 "No significant DEG"
"vmacro21746" 1.33937978388198 6.36806332112284 58.6209184495423 7.19559372929474e-07 2.79543687141135e-05 "Significant DEG"
"vmacro21748" -0.168651477159647 7.12871940503668 0.936323152796579 0.346970595780153 0.474577951707043 "No significant DEG"
"vmacro21749" 0.599876791617378 5.36279966371903 8.12434764845219 0.0111748285139768 0.0333297909509953 "No significant DEG"
"vmacro21750" 1.14604314200876 -0.609575179834688 2.80664906297182 0.11241295248817 0.20028741534764 "No significant DEG"
"vmacro21751" 0.591817560789811 0.959660822407855 1.35494508866713 0.260705013228944 0.382102309997528 "No significant DEG"
"vmacro21752" -0.0190235243603899 -0.72489292185492 0.000540091192496905 0.981733158492061 0.988946589405696 "No significant DEG"
"vmacro21753" -0.856973570884439 -1.20985124239026 0.937464161639504 0.346684758992134 0.474255004143357 "No significant DEG"
"vmacro21755" -0.0628137604704023 4.89593439374019 0.162774146198906 0.691711410385942 0.780106304288418 "No significant DEG"
"vmacro21756" -0.277244429801119 6.89144352164419 3.54275769891931 0.0772720862933569 0.149550024964061 "No significant DEG"
"vmacro21757" 0.207911465392957 5.39813985257995 1.70679588501047 0.209031574728658 0.322856460562685 "No significant DEG"
"vmacro21758" -0.514733334660889 1.0232280021029 1.12453561913875 0.303974721841342 0.42896484568496 "No significant DEG"
"vmacro21759" -0.170200128372202 3.46784300731699 0.741539310963449 0.401310071373117 0.527384747601943 "No significant DEG"
"vmacro21760" 0.267232997172959 4.40641048741158 4.33455286524943 0.0529808909739654 0.111460295062136 "No significant DEG"
"vmacro21761" 0.458342945947093 4.05782680669275 3.86728769997156 0.0660061475159354 0.132596813225331 "No significant DEG"
"vmacro21762" 0.216724922974435 7.47034233473735 1.96186878909437 0.179540478685987 0.286732638222975 "No significant DEG"
"vmacro21763" -1.12426381640494 4.89838354201024 48.0943465282676 2.59299730603315e-06 6.56858215306539e-05 "Significant DEG"
"vmacro21764" -0.0201111899071808 4.68959326737485 0.018025626324297 0.894795043684772 0.932485547327744 "No significant DEG"
"vmacro21765" -0.495746314159595 4.4500250858286 6.84151952944351 0.0182246877699499 0.0489835027774827 "No significant DEG"
"vmacro21766" 0.23252543555923 5.44133899161884 3.38070090306803 0.0837363768605735 0.159138327051454 "No significant DEG"
"vmacro21767" 0.368466489793385 4.14530688188742 7.63459163790051 0.0134175312996973 0.0385567052638935 "No significant DEG"
"vmacro21768" 0.64497159356688 7.66757345602819 17.6738506414072 0.000612348823543283 0.00355243099275163 "No significant DEG"
"vmacro21769" -0.300144897665964 6.21594167635533 3.40059911685325 0.082909264278895 0.158165238135806 "No significant DEG"
"vmacro21770" -0.161251122274809 3.62646535270977 0.989017361129991 0.334112814962529 0.461291397322687 "No significant DEG"
"vmacro21771" 0.620242637810476 0.432962544126544 1.15584508822812 0.297550304040947 0.422069757566499 "No significant DEG"
"vmacro21774" 1.59532278098496 1.29388994428242 10.6885442593344 0.00458345545989038 0.0166532215042684 "Significant DEG"
"vmacro21775" -0.620801271535621 6.63107703236682 7.0103598126914 0.01705583983322 0.0465303410781852 "No significant DEG"
"vmacro21776" 0.113770780672044 4.96770754747284 0.480465137123016 0.4976976088113 0.618736325906712 "No significant DEG"
